codigo,codigo_ana,name,lat,lng,id_sace,sace,atencao,alerta,inundacao,image,banco
hybas_6120714080,56110005,Ponte Nova,-20.41458333,-42.90625,102,doce,240,280,330,imagens/hybas_6120714080.png,BANCO_HIDRO_SUREG_BH
hybas_6120702120,56659998,Nova Era IV,-19.76875,-43.01041667,153,doce,300,350,470,imagens/hybas_6120702120.png,BANCO_HIDRO_SUREG_BH
hybas_6120697890,56696000,Mario de Carvalho,-19.53541667,-42.67291667,151,doce,450,540,620,imagens/hybas_6120697890.png,BANCO_HIDRO_SUREG_BH
hybas_6121241700,56719998,Belo Oriente,-19.32708333,-42.36875,150,doce,760,860,900,imagens/hybas_6121241700.png,BANCO_HIDRO_SUREG_BH
hybas_6121240820,56825000,Naque Velho,-19.21458333,-42.38958333,152,doce,540,640,740,imagens/hybas_6121240820.png,BANCO_HIDRO_SUREG_BH
hybas_6120679490,56891900,Vila Matias,-18.56875,-41.90208333,155,doce,620,660,700,imagens/hybas_6120679490.png,BANCO_HIDRO_SUREG_BH
hybas_6120685700,56850000,Governador Valadares,-18.89791667,-41.96041667,50,doce,300,320,360,imagens/hybas_6120685700.png,BANCO_HIDRO_SUREG_BH
hybas_6120686970,56920000,Tumiritinga,-18.97708333,-41.61458333,8553,doce,350,400,450,imagens/hybas_6120686970.png,BANCO_HIDRO_SUREG_BH
hybas_6120697910,56994500,Colatina,-19.53541667,-40.64791667,53,doce,460,530,580,imagens/hybas_6120697910.png,BANCO_HIDRO_SUREG_BH
hybas_6120695400,56998200,Linhares,-19.41458333,-40.07291667,8754,doce,280,300,345,imagens/hybas_6120695400.png,BANCO_HIDRO_SUREG_BH
hybas_6120692210,41410000,Jequitiba,-19.23125,-44.02291667,9,velhas,800,1000,1180,imagens/hybas_6120692210.png,BANCO_HIDRO_SUREG_BH
hybas_6121233680,41818000,Santo Hipólito,-18.36458333,-44.26041667,12,velhas,540,640,745,imagens/hybas_6121233680.png,BANCO_HIDRO_SUREG_BH
hybas_6120708840,41195050,Rio Acima,-20.12708333,-43.79375,3,velhas,440,540,640,imagens/hybas_6120708840.png,BANCO_HIDRO_SUREG_BH
hybas_6120705740,41200430,Raposos,-19.97291667,-43.80625,2,velhas,400,470,570,imagens/hybas_6120705740.png,BANCO_HIDRO_SUREG_BH
